,Ticker
0,XRPUSDT
1,TRXUSDT
2,WAVESUSDT
3,ZILUSDT
4,ONEUSDT
5,COTIUSDT
6,SOLUSDT
7,EGLDUSDT
8,AVAXUSDT
9,NEARUSDT
10,FILUSDT
11,AXSUSDT
12,ROSEUSDT
13,ARUSDT
14,MBOXUSDT
15,YGGUSDT
16,BETAUSDT
17,PEOPLEUSDT
18,EOSUSDT
19,ATOMUSDT
20,FTMUSDT
21,DUSKUSDT
22,IOTXUSDT
23,OGNUSDT
24,CHRUSDT
25,MANAUSDT
26,XEMUSDT
27,SKLUSDT
28,ICPUSDT
29,FLOWUSDT
30,WAXPUSDT
31,FIDAUSDT
32,ENSUSDT
33,SPELLUSDT
34,LTCUSDT
35,IOTAUSDT
36,LINKUSDT
37,XMRUSDT
38,DASHUSDT
39,MATICUSDT
40,ALGOUSDT
41,ANKRUSDT
42,COSUSDT
43,KEYUSDT
44,XTZUSDT
45,RENUSDT
46,RVNUSDT
47,HBARUSDT
48,BCHUSDT
49,COMPUSDT
50,ZENUSDT
51,SNXUSDT
52,SXPUSDT
53,SRMUSDT
54,SANDUSDT
55,SUSHIUSDT
56,YFIIUSDT
57,KSMUSDT
58,DIAUSDT
59,RUNEUSDT
60,AAVEUSDT
61,1INCHUSDT
62,ALICEUSDT
63,FARMUSDT
64,REQUSDT
65,GALAUSDT
66,POWRUSDT
67,OMGUSDT
68,DOGEUSDT
69,SCUSDT
70,XVSUSDT
71,ASRUSDT
72,CELOUSDT
73,RAREUSDT
74,ADXUSDT
75,CVXUSDT
76,WINUSDT
77,C98USDT
78,FLUXUSDT
79,ENJUSDT
80,FUNUSDT
81,KP3RUSDT
82,ALCXUSDT
83,ETCUSDT
84,THETAUSDT
85,CVCUSDT
86,STXUSDT
87,CRVUSDT
88,MDXUSDT
89,DYDXUSDT
90,OOKIUSDT
91,CELRUSDT
92,RSRUSDT
93,ATMUSDT
94,LINAUSDT
95,POLSUSDT
96,ATAUSDT
97,RNDRUSDT
98,NEOUSDT
99,ALPHAUSDT
100,XVGUSDT
101,KLAYUSDT
102,DFUSDT
103,VOXELUSDT
104,LSKUSDT
105,KNCUSDT
106,NMRUSDT
107,MOVRUSDT
108,PYRUSDT
109,ZECUSDT
110,CAKEUSDT
111,HIVEUSDT
112,UNIUSDT
113,SYSUSDT
114,BNXUSDT
115,GLMRUSDT
116,LOKAUSDT
117,CTSIUSDT
118,REEFUSDT
119,AGLDUSDT
120,MCUSDT
121,ICXUSDT
122,TLMUSDT
123,MASKUSDT
124,IMXUSDT
125,XLMUSDT
126,BELUSDT
127,HARDUSDT
128,NULSUSDT
129,TOMOUSDT
130,NKNUSDT
131,BTSUSDT
132,LTOUSDT
133,STORJUSDT
134,ERNUSDT
135,XECUSDT
136,ILVUSDT
137,JOEUSDT
138,SUNUSDT
139,ACHUSDT
140,TROYUSDT
141,YFIUSDT
142,CTKUSDT
143,BANDUSDT
144,RLCUSDT
145,TRUUSDT
146,MITHUSDT
147,AIONUSDT
148,ORNUSDT
149,WRXUSDT
150,WANUSDT
151,CHZUSDT
152,ARPAUSDT
153,LRCUSDT
154,IRISUSDT
155,UTKUSDT
156,QTUMUSDT
157,GTOUSDT
158,MTLUSDT
159,KAVAUSDT
160,DREPUSDT
161,OCEANUSDT
162,UMAUSDT
163,FLMUSDT
164,UNFIUSDT
165,BADGERUSDT
166,PONDUSDT
167,PERPUSDT
168,TKOUSDT
169,GTCUSDT
170,TVKUSDT
171,MINAUSDT
172,RAYUSDT
173,LAZIOUSDT
174,AMPUSDT
175,BICOUSDT
176,CTXCUSDT
177,FISUSDT
178,BTGUSDT
179,TRIBEUSDT
180,QIUSDT
181,PORTOUSDT
182,DATAUSDT
183,NBSUSDT
184,EPSUSDT
185,TFUELUSDT
186,BEAMUSDT
187,REPUSDT
188,PSGUSDT
189,WTCUSDT
190,FORTHUSDT
191,BONDUSDT
192,ZRXUSDT
193,FIROUSDT
194,SFPUSDT
195,VTHOUSDT
196,FIOUSDT
197,PERLUSDT
198,WINGUSDT
199,AKROUSDT
200,BAKEUSDT
201,ALPACAUSDT
202,FORUSDT
203,IDEXUSDT
204,PLAUSDT
205,VITEUSDT
206,DEGOUSDT
207,XNOUSDT
208,STMXUSDT
209,JUVUSDT
210,STRAXUSDT
211,CITYUSDT
212,JASMYUSDT
213,DEXEUSDT
214,OMUSDT
215,MKRUSDT
216,FXSUSDT
217,BTCUSDT
218,ETHUSDT
219,ADAUSDT
