"Date","P/E","P/B","Div Yield"
"01-Jan-2009","       12.53","        2.33","        1.87"
"02-Jan-2009","       12.61","        2.35","        1.86"
"05-Jan-2009","       12.94","        2.41","        1.81"
"06-Jan-2009","       12.91","        2.40","        1.81"
"07-Jan-2009","       12.08","        2.25","        1.94"
"09-Jan-2009","       11.85","        2.21","        1.97"
"12-Jan-2009","       11.60","        2.15","        2.02"
"13-Jan-2009","       11.44","        2.13","        2.05"
"14-Jan-2009","       11.82","        2.20","        1.98"
"15-Jan-2009","       11.40","        2.12","        2.05"
"16-Jan-2009","       11.75","        2.19","        1.99"
"19-Jan-2009","       11.82","        2.20","        1.98"
"20-Jan-2009","       11.63","        2.17","        2.01"
"21-Jan-2009","       11.27","        2.10","        2.08"
"22-Jan-2009","       11.23","        2.10","        2.07"
"23-Jan-2009","       11.35","        2.07","        2.11"
"27-Jan-2009","       11.81","        2.13","        2.04"
"28-Jan-2009","       12.22","        2.19","        1.99"
"29-Jan-2009","       12.27","        2.18","        2.00"
"30-Jan-2009","       12.49","        2.22","        1.97"
"02-Feb-2009","       12.22","        2.13","        2.04"
"03-Feb-2009","       12.27","        2.14","        2.03"
"04-Feb-2009","       12.34","        2.16","        2.02"
"05-Feb-2009","       12.25","        2.14","        2.04"
"06-Feb-2009","       12.53","        2.19","        1.99"
"09-Feb-2009","       12.88","        2.25","        1.94"
"10-Feb-2009","       12.94","        2.26","        1.93"
"11-Feb-2009","       12.91","        2.25","        1.94"
"12-Feb-2009","       12.77","        2.23","        1.96"
"13-Feb-2009","       13.01","        2.27","        1.92"
"16-Feb-2009","       12.57","        2.19","        1.99"
"17-Feb-2009","       12.23","        2.13","        2.04"
"18-Feb-2009","       12.24","        2.13","        2.04"
"19-Feb-2009","       12.30","        2.14","        2.03"
"20-Feb-2009","       12.06","        2.10","        2.07"
"24-Feb-2009","       12.03","        2.10","        2.08"
"25-Feb-2009","       12.15","        2.12","        2.05"
"26-Feb-2009","       12.24","        2.13","        2.04"
"27-Feb-2009","       12.16","        2.12","        2.05"
"02-Mar-2009","       11.77","        2.05","        2.12"
"03-Mar-2009","       11.54","        2.01","        2.16"
"04-Mar-2009","       11.63","        2.03","        2.15"
"05-Mar-2009","       11.32","        1.97","        2.20"
"06-Mar-2009","       11.49","        2.00","        2.17"
"09-Mar-2009","       11.28","        1.97","        2.21"
"12-Mar-2009","       11.47","        2.00","        2.18"
"13-Mar-2009","       11.92","        2.08","        2.09"
"16-Mar-2009","       12.19","        2.12","        2.05"
"17-Mar-2009","       12.12","        2.11","        2.06"
"18-Mar-2009","       12.29","        2.14","        2.03"
"19-Mar-2009","       12.35","        2.15","        2.02"
"20-Mar-2009","       12.34","        2.15","        2.02"
"23-Mar-2009","       12.91","        2.25","        1.93"
"24-Mar-2009","       12.89","        2.24","        1.94"
"25-Mar-2009","       13.11","        2.28","        1.91"
"26-Mar-2009","       13.52","        2.35","        1.85"
"27-Mar-2009","       13.54","        2.40","        1.83"
"30-Mar-2009","       12.99","        2.30","        1.91"
"31-Mar-2009","       13.18","        2.33","        1.88"
"01-Apr-2009","       13.35","        2.36","        1.86"
"02-Apr-2009","       14.00","        2.48","        1.77"
"06-Apr-2009","       14.23","        2.52","        1.74"
"08-Apr-2009","       14.59","        2.58","        1.70"
"09-Apr-2009","       14.62","        2.59","        1.70"
"13-Apr-2009","       14.83","        2.62","        1.67"
"15-Apr-2009","       15.27","        2.71","        1.62"
"16-Apr-2009","       14.74","        2.61","        1.68"
"17-Apr-2009","       14.83","        2.63","        1.67"
"20-Apr-2009","       14.85","        2.63","        1.67"
"21-Apr-2009","       14.79","        2.62","        1.67"
"22-Apr-2009","       14.64","        2.59","        1.68"
"23-Apr-2009","       15.03","        2.66","        1.64"
"24-Apr-2009","       15.31","        2.71","        1.61"
"27-Apr-2009","       15.37","        2.70","        1.62"
"28-Apr-2009","       14.87","        2.61","        1.67"
"29-Apr-2009","       15.30","        2.70","        1.62"
"04-May-2009","       16.05","        2.83","        1.54"
"05-May-2009","       16.12","        2.85","        1.53"
"06-May-2009","       15.93","        2.81","        1.55"
"07-May-2009","       16.24","        2.86","        1.53"
"08-May-2009","       15.97","        2.81","        1.55"
"11-May-2009","       15.61","        2.76","        1.58"
"12-May-2009","       16.13","        2.86","        1.53"
"13-May-2009","       15.96","        2.83","        1.54"
"14-May-2009","       15.84","        2.81","        1.56"
"15-May-2009","       16.17","        2.86","        1.52"
"18-May-2009","       19.01","        3.36","        1.30"
"19-May-2009","       19.03","        3.37","        1.29"
"20-May-2009","       18.96","        3.36","        1.30"
"21-May-2009","       18.68","        3.32","        1.32"
"22-May-2009","       18.72","        3.34","        1.31"
"25-May-2009","       18.85","        3.35","        1.30"
"26-May-2009","       18.30","        3.21","        1.32"
"27-May-2009","       18.93","        3.34","        1.27"
"28-May-2009","       19.20","        3.38","        1.26"
"29-May-2009","       19.66","        3.46","        1.22"
"01-Jun-2009","       19.62","        3.53","        1.20"
"02-Jun-2009","       19.57","        3.53","        1.20"
"03-Jun-2009","       19.63","        3.54","        1.20"
"04-Jun-2009","       19.88","        3.58","        1.19"
"05-Jun-2009","       19.95","        3.59","        1.18"
"08-Jun-2009","       19.22","        3.45","        1.23"
"09-Jun-2009","       19.80","        3.56","        1.19"
"10-Jun-2009","       20.24","        3.64","        1.17"
"11-Jun-2009","       20.16","        3.62","        1.17"
"12-Jun-2009","       19.93","        3.56","        1.19"
"15-Jun-2009","       19.56","        3.49","        1.21"
"16-Jun-2009","       19.76","        3.53","        1.20"
"17-Jun-2009","       18.69","        3.36","        1.26"
"18-Jun-2009","       18.25","        3.28","        1.29"
"19-Jun-2009","       18.52","        3.33","        1.27"
"22-Jun-2009","       18.21","        3.28","        1.30"
"23-Jun-2009","       18.25","        3.28","        1.29"
"24-Jun-2009","       18.49","        3.33","        1.28"
"25-Jun-2009","       18.36","        3.29","        1.29"
"26-Jun-2009","       19.33","        3.41","        1.15"
"29-Jun-2009","       19.48","        3.43","        1.15"
"30-Jun-2009","       19.13","        3.34","        1.18"
"01-Jul-2009","       19.34","        3.38","        1.16"
"02-Jul-2009","       19.37","        3.38","        1.16"
"03-Jul-2009","       19.71","        3.44","        1.14"
"06-Jul-2009","       18.56","        3.15","        1.23"
"07-Jul-2009","       18.72","        3.18","        1.22"
"08-Jul-2009","       18.17","        3.08","        1.26"
"09-Jul-2009","       18.19","        3.09","        1.26"
"10-Jul-2009","       17.79","        3.03","        1.28"
"13-Jul-2009","       17.60","        3.00","        1.29"
"14-Jul-2009","       18.22","        3.11","        1.25"
"15-Jul-2009","       18.78","        3.18","        1.22"
"16-Jul-2009","       18.47","        3.17","        1.22"
"17-Jul-2009","       19.08","        3.28","        1.18"
"20-Jul-2009","       19.61","        3.37","        1.15"
"21-Jul-2009","       19.47","        3.35","        1.16"
"22-Jul-2009","       19.06","        3.30","        1.18"
"23-Jul-2009","       19.43","        3.39","        1.15"
"24-Jul-2009","       19.74","        3.42","        1.13"
"27-Jul-2009","       19.64","        3.43","        1.13"
"28-Jul-2009","       19.44","        3.43","        1.13"
"29-Jul-2009","       19.21","        3.39","        1.15"
"30-Jul-2009","       19.27","        3.43","        1.13"
"31-Jul-2009","       19.58","        3.48","        1.11"
"03-Aug-2009","       19.98","        3.54","        1.10"
"04-Aug-2009","       19.88","        3.52","        1.10"
"05-Aug-2009","       19.95","        3.53","        1.10"
"06-Aug-2009","       19.48","        3.45","        1.12"
"07-Aug-2009","       19.02","        3.37","        1.15"
"10-Aug-2009","       18.83","        3.34","        1.16"
"11-Aug-2009","       18.97","        3.36","        1.15"
"12-Aug-2009","       18.92","        3.35","        1.16"
"13-Aug-2009","       19.56","        3.46","        1.12"
"14-Aug-2009","       19.45","        3.35","        1.12"
"17-Aug-2009","       18.64","        3.21","        1.17"
"18-Aug-2009","       18.96","        3.26","        1.15"
"19-Aug-2009","       18.67","        3.21","        1.17"
"20-Aug-2009","       18.89","        3.25","        1.15"
"21-Aug-2009","       19.18","        3.31","        1.14"
"24-Aug-2009","       19.66","        3.39","        1.11"
"25-Aug-2009","       19.70","        3.40","        1.11"
"26-Aug-2009","       19.81","        3.42","        1.10"
"27-Aug-2009","       19.82","        3.42","        1.10"
"28-Aug-2009","       20.05","        3.46","        1.09"
"31-Aug-2009","       19.80","        3.41","        1.10"
"01-Sep-2009","       19.63","        3.38","        1.11"
"02-Sep-2009","       19.55","        3.37","        1.12"
"03-Sep-2009","       19.50","        3.36","        1.12"
"04-Sep-2009","       19.85","        3.42","        1.10"
"07-Sep-2009","       20.31","        3.50","        1.07"
"08-Sep-2009","       20.38","        3.51","        1.07"
"09-Sep-2009","       20.41","        3.52","        1.07"
"10-Sep-2009","       20.43","        3.52","        1.07"
"11-Sep-2009","       20.45","        3.53","        1.07"
"14-Sep-2009","       20.44","        3.52","        1.07"
"15-Sep-2009","       20.82","        3.59","        1.05"
"16-Sep-2009","       21.09","        3.64","        1.03"
"17-Sep-2009","       21.13","        3.64","        1.03"
"18-Sep-2009","       21.20","        3.66","        1.03"
"22-Sep-2009","       21.38","        3.69","        1.02"
"23-Sep-2009","       21.16","        3.46","        1.03"
"24-Sep-2009","       21.23","        3.47","        1.02"
"25-Sep-2009","       21.15","        3.46","        1.03"
"29-Sep-2009","       21.34","        3.49","        1.02"
"30-Sep-2009","       21.66","        3.54","        1.00"
"01-Oct-2009","       21.67","        3.54","        1.00"
"05-Oct-2009","       21.31","        3.49","        1.02"
"06-Oct-2009","       21.45","        3.51","        1.01"
"07-Oct-2009","       21.33","        3.49","        1.02"
"08-Oct-2009","       21.44","        3.51","        1.01"
"09-Oct-2009","       21.20","        3.47","        1.02"
"12-Oct-2009","       21.66","        3.55","        1.00"
"14-Oct-2009","       21.87","        3.60","        0.99"
"15-Oct-2009","       21.88","        3.60","        0.99"
"16-Oct-2009","       22.02","        3.62","        0.98"
"17-Oct-2009","       22.03","        3.62","        0.98"
"20-Oct-2009","       21.91","        3.61","        0.98"
"21-Oct-2009","       21.68","        3.57","        1.00"
"22-Oct-2009","       21.34","        3.56","        1.03"
"23-Oct-2009","       21.12","        3.57","        1.03"
"26-Oct-2009","       20.85","        3.55","        1.03"
"27-Oct-2009","       20.32","        3.46","        1.06"
"28-Oct-2009","       20.25","        3.44","        1.06"
"29-Oct-2009","       19.91","        3.39","        1.08"
"30-Oct-2009","       19.13","        3.37","        1.09"
"03-Nov-2009","       18.55","        3.26","        1.12"
"04-Nov-2009","       19.15","        3.37","        1.09"
"05-Nov-2009","       19.41","        3.41","        1.07"
"06-Nov-2009","       19.75","        3.44","        1.06"
"09-Nov-2009","       20.19","        3.52","        1.04"
"10-Nov-2009","       20.13","        3.51","        1.04"
"11-Nov-2009","       20.87","        3.63","        1.00"
"12-Nov-2009","       20.63","        3.39","        1.00"
"13-Nov-2009","       20.82","        3.42","        1.00"
"16-Nov-2009","       21.06","        3.46","        0.98"
"17-Nov-2009","       21.09","        3.46","        0.98"
"18-Nov-2009","       21.06","        3.46","        0.98"
"19-Nov-2009","       20.78","        3.41","        1.00"
"20-Nov-2009","       21.02","        3.45","        0.99"
"23-Nov-2009","       21.21","        3.48","        0.98"
"24-Nov-2009","       21.18","        3.48","        0.98"
"25-Nov-2009","       21.24","        3.49","        0.98"
"26-Nov-2009","       20.85","        3.42","        0.99"
"27-Nov-2009","       20.58","        3.38","        1.01"
"30-Nov-2009","       20.95","        3.44","        0.99"
"01-Dec-2009","       21.33","        3.50","        0.97"
"02-Dec-2009","       21.36","        3.51","        0.97"
"03-Dec-2009","       21.41","        3.52","        0.97"
"04-Dec-2009","       21.33","        3.50","        0.97"
"07-Dec-2009","       21.14","        3.47","        0.98"
"08-Dec-2009","       21.52","        3.53","        0.96"
"09-Dec-2009","       21.36","        3.51","        0.97"
"10-Dec-2009","       21.45","        3.52","        0.97"
"11-Dec-2009","       21.38","        3.51","        0.97"
"14-Dec-2009","       21.33","        3.50","        0.97"
"15-Dec-2009","       21.02","        3.45","        0.99"
"16-Dec-2009","       21.06","        3.46","        0.98"
"17-Dec-2009","       21.08","        3.46","        0.98"
"18-Dec-2009","       20.87","        3.40","        0.99"
"21-Dec-2009","       20.73","        3.38","        1.00"
"22-Dec-2009","       20.88","        3.40","        0.99"
"23-Dec-2009","       21.49","        3.50","        0.96"
"24-Dec-2009","       21.64","        3.52","        0.95"
"29-Dec-2009","       21.67","        3.53","        0.95"
"30-Dec-2009","       21.61","        3.52","        0.96"
"31-Dec-2009","       21.73","        3.54","        0.95"
